,comments,label
33,글쎄요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
34,😮,
35,그냥 안드로이드가 별로에요.. 삼성+ios면 바로 샀을듯,
36,기사를 본 입장에서 왜 그렇게 느끼셨나 궁금합니다!,
37,삼성페이 절대 못잊어 ㅎㅅㅎ,
38,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
39,예뻐서 보자마자 바꿨어요ㅜㅜ,
40,샘송 보라색 기대해도 되는 겁니까....????,
41,갤럭시 최고인데.. 삼성페이도 최고 교통카드도 됨ㅠ,
42,버즈 산지 이제 2달 됐는데,
43,ㅠㅠㅠㅠㅜ 지금 제 갤10 형광핑크는 핵별론디 ㅠㅠㅠㅠ,
44,우와,
45,헉 짱이쁘다 폴더폰 같다,
46,s10 시리즈 좋았잖악!!!,
47,그래서 삼성폰 안써요 ㅠㅠ노트 쓸 때도 폰 반절이 핑크색이였음,
48,Mp3같다,
49,화질 별로라 했는데 생각보다 괜찮네용,
50,와 보라색 사이에 검정색 간지다,
51,네네! 그래서 번인보정 프로그램 1차로 하고 그래도 안되면 액정교체 해주더라고요..! 글고 진짜 완전 수리기사 맘이라 쉽게 교체받은 사람도 있고 정말 안해주는 사람도 있더라구욬ㅋㅋㅋㅋ,
52,삼성은 이통사의 의견을 이미 반영해서 플래그쉽은 전부다 5g인데 애플이 4g내면 경쟁이 안되서 당연하다고 생각해요,
53,짱귀엽다.....,
54,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
55,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
56,갤럭시긴한테 엣지 제외,
57,버즈최고..갓버즈...,
58,실물 짱예 ㅜㅜ 특히 블루컬러 너무 잘 뽑았더라고요 그냥 노트20은 카툭튀도 s20 정도예요,
59,외계인....,
60,??으디가 갤럭시가 멸망이여? 뭔 의도여..,
61,378,
62,말씀하신 건 폴드가 아니라 플립입니다,
63,엔드게임ㅠㅠㅠㅠㅠㅠㅠㅠ최고였음,
64,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ자랑중ㅋㅋㅋㅋㅋㅋㅋ,
65,"이게 원래 안됐었어요..,?다되는건줄...",
66,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
67,ㅋㅋㅋㅋㅋㅋㅋㅌ,
68,도대체 이유가 무야,
69,"중간에 꺾이는 부분 필름 안 일어나나욤.,..? 갖고싶은데 그부분땜에ㅜㅜ",
70,진짜 예뿐데... 방수랑 액정 내구도 땜에 포기하고 s20 왓어요ㅠㅜ 스트랩 달 수 잇는 케이스 마니 나왓으면...,
71,저는 잘 모르겠어요 아이폰X보다 덜하고 선명해요 방금 찍은 겁니당,
72,어제 실버 배송왔는데.............😭😭,
73,아이폰도 털려요... 외국 배우들 엄청 털렸죠.. 그냥.. 뭘 저장 안해야 할 것 같아요 ㅠㅠ,
74,이틀만에 푹 빠져서 다 봤네요ㅋㅋ 무서운 장면들은 공포영화 뺨치게 무서워서 흐린 눈으로 봤어욬ㅋㅋㅋ,
75,오 그런가요 그런 시간 있으면 유용하게 쓰이겠군요!,
76,크 아쉽네요 아직 외계인 거기까지 쥐어짜내진 못했구나,
77,1010,
78,버즈 자꾸 귀에서 빠져서 별로에요ㅠㅠㅠㅠㅠㅠㅠ,
79,플립은 저렇게 자그맣게 시간 뜨는 게 예쁜 거 같아요,
80,SKT도 됩니다. LTE 공폰이 필요하지만요,
81,이거 일본에서 백퍼 먹히겠네요..,
82,뭐야,
83,ㅋㅋㅋㅋㅋㅋ버즈케이스케이스네요ㅋㅋㅋㅋㅋㅋㅋㅋ,
84,전혀 그런거 없어용 스펙은 노트10이랑 같을거에여 셀카 너무 편하구 친구랑 영상통화도 너뮤 편해요ㅋㅋ,
85,디자인 중국폰과 구글폰 그 중간... 아니 폴더블폰은 디자인 기가 막히게 뽑으면서 일반폰은 왜그를까,
86,(본인이 직접 삭제한 댓글입니다),
87,저기다 고기구워도 되겠다,
88,아싸 이번에 살건데,
89,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 생각보다 실물 예쁘던데,
90,S10 오래가자...,
91,호기심에 아이폰으로 바꿨다가 약정 끝나기만을 기다립니다ㅠㅠ,
92,저걸 왜 세면대에 올려두져....,
93,"기술은 진짜 짱인데... 핸드폰은 핸드폰,,,인데 왜 자꾸 다들 폰에 카메라 기능 업그레이드 시키는지 모르겠어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠ",
94,헉... 어떻게 하죠ㅠㅠㅠㅠㅠㅠㅠㅠ,
95,아...,
96,헐 나도 이거 떴었는데 눌러보고 아무것도 안뜨길래 뭐징 했는데 실검에도 들고 그랬구만,
97,오마이갓 수리센터 가기도 민망햌ㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,
98,노트5는 아몰레드 아니라서 번인 현상 안 생길걸요,
99,저거 그레이도 이뻐요 ㅠㅠㅠ 동생이 샀는데 고급진 그레이더라구요,
100,"사전예약 기다립니다,,,,,",
101,아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
102,아니 근데 저게 아떻게 가능하지 저 화면 켜놓고 한 이주 내버려뒀나...???,
103,와 미쳤다,
104,으앙 프로샀는딩,
105,노트도 핑크 만들어조,
106,𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ,
107,처음에 뭔가했어요 아....,
108,뭔가 생긴거부터가 장난감같음,
109,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
110,헐... 너무 좋아요!,
111,라온마가 그렇게 재밌나봐요....영업당함....,
112,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저거 찍으면 자동으로 보정돼서 저렇게 보이는것보다 더 선명해진대요..,
113,엣지 골드 에스케이......,
114,어차피 전화 용도 아니라서 상관 없지만 디자인 예쁘면 약간 슬플 것 같은데...,
115,사과는 여전히 중간이네요ㅠㅠㅠ 그래도 나오면 바꿔야징,
116,아... 노트10을 보고 믿었건만 S시리즈에서 뒤통수를 맞을 줄이야.....,
117,노트8 바꾸고싶었는데 5G 안정되기전까지는 버텨야지,
118,똑똑하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
119,저두 잉피콘이였는데... 그냥 잡는사람 맘인것같아영..,
120,❗️이통사 의견❗️ 이미 한국에서 4g 모델 안 내면 그건 이통사 입김이 클거라고 예상 많이 했었어용 요금제야 5g 모델 사서 4g 유심 끼워서 쓰면 된다지만 문제는 기기 가격이 다르니ㅠ,
121,와,
122,ㄹㅇ 갑질이네,
123,와.... 갖고 싶다 콘서트 가면 대포 부럽지 않은 시야짤 완성,
124,๑°⌓°๑ 아...브랜드,
125,노이즈 캔슬링은 절대 없을까요...?,
126,카메라가 엉망진창... 디자인이 정말 저게 최선입니까...ㅠㅠ,
127,당첨시 양도요? 당첨 아직 안 되신거??,
128,"친구랑 에어팟 프로 나눠서 꼈는데 ㄹㅇ 대박이에용 한쪽씩 꼈는데 한쪽 귀만 막히는 기분 ,,",
129,전자레인지 같은데 귀엽고 그러네옄ㅋㅋㅋㅋㅋ,
130,1억..?,
131,오 아무리봐도 블루로 안보이고 그냥 실버같은데 제가 눈이 피곤해서겠죠??,
132,그걸 왜 따라해요..... ㅠ,
133,에어팟 다시보니 선녀같네,
134,헐 넘 예쁜데,
135,펭수 빼고 다 노관심,
136,전 이제 폰 디자인 신경안쓰기로 했어요.... 못생기면 어때요 케이스로 덮어버리면 되니까요~,
137,아....7월안으로 아이폰 새로 안나오면 저거 살래요 뽐뿌지린다 진짜,
138,이동통신사 의견으로 3사 다 5G만 출시한다는게 주 내용인데 제목은 애플만 잘못하는 것 처럼 쓰여있네요,
139,오 얼말까,
140,하.. 에어팟 수명다하면 바로 버즈사야지ㅠ,
141,44444이미 구매햇지만 시리즈 나오면 계속 구매해서 쓸게요...,
142,원숭이가 드니까 되게 커보인다...ㅋㅋㅋㅋ,
143,1 2 3 4 5 6 7 8,
144,에어팟 프로와 비교했을 때 외부소리 더 잘차단되나요? 둘 중에 고민중이라서...🥺,
145,앞으로 가기도 설정 가능해요~!~!~!,
146,에바 개못생겼다,
147,엘지폰 쓸때 저랬는데 갤럭시도 저러나보네요? 갤럭시는 이번이 첨이라..,
148,오 ios 호환 떴군요,
149,아니...아니.....왜 그러세요.....왜....왜....그러시죠...?,
150,설정에 검색해보세욤!!,
151,"폰바꿔서 5g인데 지하철에선 무조건 lte그리고 솔직히 5g량 lte 속도차이도 모르겠,,걍 돈만 나가고ㅋㅋㅋㅋㅋㅋ섭스셉터에서 말하길자기들도 5g는 배터리 빨리닳는 등의 문제로lte로 바꿔놓고 쓴다곸ㅋㅋㅋㅋㅋㅋㅋ",
152,너무 이뻐요ㅠㅠㅠㅠㅠ,
153,뒤로가기랑 샘숭페이 못잃어요ㅠㅠ 아이폰 쓰면 광고 떴을때 x자 눌러야 되자나요...,
154,버즈최고..갓버즈...,
155,아근데 진심 예쁘다 사고싶다..,
156,💸,
157,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
158,ㅋㅋㅋㄲ ㄲ ㄲㅋㅋㅋㅋㅋㄲ,
159,와 예쁘다,
160,삼성페이랑 AS나 문제있을 때 친절함이 좋아요ㅜㅜ 나한테 맞춰! 식이 아니라 유저 맘대로 하나하나 다 커스텀할 수 있는것도 좋아요,
161,걍 갤럭시요..  전에는 디자인은 아이폰이지 해서 언젠가 한번쯤은 아이폰 써보고싶다 했는데 지금은 카메라땜에 갤럭시나 아이폰이나 몬생기거 똑같아진 마당이라 걍 편한게 최고다 이 마인드입니다 ㅋㅋㅋㅋㅜㅜ,
162,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
163,어휴 프로 떨굼러는 꿈도 안 꿉니당,
164,"하지만 너무 예쁘잖아여,,,",
165,다음 폰은... 뭘로 바꾼담...,
166,흑당이랑 전동킥보드 빼고 다...,
167,넴 번인현상 자체가 OLED 문제라서 LCD는 괜찮습니당,
168,노트텐 만들던 기억으로 삼성ㅠㅠㅠㅠㅠㅠ 뭔가 항상 변화 있는건 좋은데 엉엉ㅠㅠㅠ 모르겠다 21예정은 묘하게 자꾸보면 정들거같기도하고...,
169,오늘 예약하고 왔어요! ㅎㅎ 월요일에 받으러 갑니당,
170,3578,
171,이거진짜 인생작....너무 재밌어요,
172,번인이라는 거 처음 알았네요...,
173,그런데 버즈케이스 끼울 때 양면테이프 필요한가요?,
174,네?? 지금 딱 폰 바꿀 시긴데 12 나온대서 11 안사고 있었는데 ㅜㅜ 뭐에유 나한테 왜그래유ㅠㅠㅠㅠㅠ그냥 바꿔야되나ㅠㅠㅠㅠㅠㅠㅠㅠ,
175,넹!!,
176,"폰 두 달 전에 바꿨는데 저거 먼저 나왔으면 저거 했을텐데 ,,, 하 진짜 지금 바꾸고 싶다 ㅠㅠㅠ",
177,ㅋㅋㅋㅋㅋㅋㅋ저런거 따라하지 말라구,
178,갤럭시 맞아요 S6인가 S7때 인터넷 아이콘이 저랬습니다,
179,프로 최고 프로없인 못살아,
180,겁예인데ㅜㅜㅜ메탈이 신의한수,
181,5G 쓰고 있지만...속도감 다른 거 못 느껴요..ㅠㅠ,
182,오오 갤럭시 S10 * 830-50 왓다갓다 하네용 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,
183,에엥 저 갤노트인데 저렇게 작게 안 들어가요... 어떻게 한 거지?,
184,헐 저도떠서 눌렀는데 아무것도안떠서 뭐지..했는데,
185,근데 증사는 포토샵 많이 하지 않나요? 저만 해도 증사만 보면ㅋㅋㅋㅋㅋ... 포토샵 어캐 거를려고,
186,다 빼라 다 빼 이럴거면 핸드폰도 빼,
187,절대 lte가 5g보다 더 비쌀수없습니다,
188,"기술은 진짜 짱인데... 핸드폰은 핸드폰,,,인데 왜 자꾸 다들 폰에 카메라 기능 업그레이드 시키는지 모르겠어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠ",
189,네?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
190,루머면 루먼데 이게 루머가 아니고 사실이면 삼성은 외계인을 데려와 고문하는게 아니고 외계인을 양육하는겁니다,
191,아이폰레드 쓰는데 버플레드가 너무 예뻐서 구매했슴돠🙋‍♀️ 레드도 예뻐요 여러분쓰!!!!! ㅠㅠㅠ,
192,헉ㅋㅋㅋㅋㅋ 저 지금 그래욬ㅋㅋㅋㅋ,
193,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ자랑중이랰ㅋㅋㅋㅋㅋ.,
194,ㅋㅌㅋㅋㅋㅋㅋㅋㅋ 자랑중ㅋㅋ,
195,노래 블루밍이 생각나는 이름이네요,
196,버즈는 애초에 외부소음 잘 안들리긴 합니다! 물론 기능있는거랑은 차이가있겠지만,
197,ouɐɹʎɥʍ...ouɐɹʎɥʍ...ouɐɹʎɥʍ...,
198,힌지 부분 때문에 방수가 안 된대요 하나도 안 된다고 하니까 참고하시길,
199,와ㅋㅋㅋㅋㅋㅋ한국 소비자를 호구로 보네..,
200,헐 너무 예버,
201,갤럭신데 꽁기하지도 않고 암생각없는디,
202,헐ㅋㅋ 케이스 팔아줬으면 ㅠㅠ,
203,오우........,
204,헐 이때까지 이런거 안 갖고 싶었는데 이건 진짜 이뿌다,
205,2250에서 왔다갔다하네요 물고기 징그러,
206,구려ㅜㅜ,
207,v30 쓰면서 발열이나 잔상남는 거 하나도 없었는데 갤럭시는 저렇게 심하구나..,
208,이 광고때문에 핸드폰 바꾸고 싶어요ㅜㅜ~~~,
209,아아ㅠㅠ 감사합니다!!,
210,으어 어렵당,
211,후면에서 전면 전환할때 딜레이는 좀 있겠네요,
212,ㅓ헐 ::ㅋㅋ,
213,친구가 위에 필름 붙인거 써봤는데 손톱으로 기스는 잘 안난대용,
214,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대박ㅋㅋㅋㅋ,
215,22 색감이 예뻐요,
216,저건 진짜 배경 절대 못 바꿀... 핸드폰이네요...;,
217,물론  LCD계열인 xr 이나 11사면 되는데 걔내는 화면해상도가 720 hd 급이라...OLED 쓰긴 하지만 최신 기종들이라면 어느정도 안심할 수 있을거에요.애플이나 삼성이나 번인생긴걸 자체적으로 보정을 한다고 추측을 하고 있어서요.https://meeco.kr/ITplus/27937266,
218,88 이건뭐지하고 없앴는데...,
219,ㅠㅠㅠㅠ가고싶어요,
220,사진에있는 글씨 번역해주는거면 빅스비 비전으로 하시면 됩니당!,
221,💯,
222,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ궁금해서들오와봤더닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
223,기본스킨이죠,
224,오....데엠......🤭,
225,진짜 인생드라마..,
226,와 게임 네 개...,
227,바탕화면 빼면 90년대 감성아닌가유,
228,오,
229,헐 빨간색 마이마이 예뿌다,
230,핑크ㅠㅠㅠㅠ,
231,네?? 지금 딱 폰 바꿀 시긴데 12 나온대서 11 안사고 있었는데 ㅜㅜ 뭐에유 나한테 왜그래유ㅠㅠㅠㅠㅠ그냥 바꿔야되나ㅠㅠㅠㅠㅠㅠㅠㅠ,
232,다크모드 쓰세요,
233,"호엥 그렇군요,,",
234,5G 쓰고 있지만...속도감 다른 거 못 느껴요..ㅠㅠ,
235,천잰가봐...,
236,헐 너무 무섭다..,
237,아... 노트10을 보고 믿었건만 S시리즈에서 뒤통수를 맞을 줄이야.....,
238,아 사고싶다,
239,사진은 이전 모델 같은데 이번에도 콜라보 하나 보네요,
240,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
241,안 사라져요... ㅠㅠ,
242,(본인이 직접 삭제한 댓글입니다),
243,"ㅎㅎㅎㅎ 맞아요ㅠ 이번에 2는 무게가 덜 나가지 않을까요? 폴드1 처음나왔을때 바꾸려고 했는데 어머니가 진짜 별로라고 그냥 휴대폰 두개 들고다니는거라고 하시면서 반대하더라구요 ㅋㅋㅋㅋㅋㅋ 어머니가 무게에 대한 얘기 안하셨지만 1보다는 엄청 좋다고 하시던데 무게가 더 가벼워졌으면 ,,, ㅠㅠ",
244,플립 뽐뿌 온다.....,
245,뭐얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
246,와 이번에 노트로 바꿨는데 카메라만 가지고싶다,
247,?????????????????!,
248,2 저도 샤워할때 다른폰으로 노래 들어요ㅠㅠ,
249,헐 예뻐,
250,라온마 보고 얼마동안 삐소리 환청처럼 들림 ㅠㅠ,
251,👏,
252,삼성 요즘에 하는 짓 참 대단함 👍🏻,
253,2만원에 살 수 있는데 버즈 1세대가 있어서 고민...ㅠㅡㅠ,
254,ㅜㅜ웨요?! 5g요금제비싸요ㅠ,
255,아 노트9 다시 살까..,
256,김밥천국 가고싶다,
257,진짜 라디오 기능도 되는건가요?,
258,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀엽닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
259,젛긴하네,
260,ㅋㅋㅋㅋㅋㅋㅋ,
261,헐,
262,2478,
263,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
264,아이 색 별로에요오,
265,노트9   좋아요.  아무래도  전 삼성에서  못옮길꺼 같아요.ㅋㅋ빅스비 삼성페이 s펜 캡쳐화면웹페이지 이동  앺페어  가  삶의 질을 너무 올려 놨어요.게다가  520기가...사진 영상 미친듯이 다운 받아도  버벅 거림 없고..좋아요ㅋㅋ,
266,버티길 잘했다..ㅠㅜ,
267,애니콜은 진짜ㅋㅋㅋㅋㅋㅋ 이효리도 이효리지만 삼성이 마케팅도 잘했어요 광고가 핸드폰 광고 같지 않고 이효리랑 시너지 제대로였죠,
268,5G 싫은데... 8ㅅ8,
269,할 미쳣다,
270,다음은 삼성폰....,
271,인포 반말안돼용,
272,이쁘긴 진짜 드릅게 이쁘네ㅜㅜ,
273,톰브라운 에디션 너무 이쁘던데...,
274,저게 가능한가여??? 배경화면으로 해둔건가 진짜....????? 아님 같은걸 여러번 본건감??,
275,아 사고싶다......,
276,ottogi,
277,카툭튀ㅇㅈ... 미치도록 사고싶다아니 폰 바꾸고 싶은데 폰이 너무 멀쩡해요....ㅠㅠ 흑흑 확 던져버릴까,
278,헐 이뻐,
279,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
280,"아무리 소비자 과실 이라고 해도 첨부터 삼성측에서 알려줬으면 했는 아쉬움이 있네요 뭐 물론 자기회사 제품 단점 대대적으로 알릴 회사도 별로 없겠지만,,,",
281,아 이거 예전에 엘지폰 쓸 때 너무 스트레스라 다신 안 쓰겠다고 다짐하고 아이폰으로 갈아탔는데...일단 2년 다 돼가고 있는데 번인현상은 아직 안 나타나서 좋아요,
282,22,
283,앗 그래요?? 어떤 기능인가요??? 저도 써보고 싶어요!,
284,에이블리에서 샀어요!,
285,버즈는 블루 썼어서 플러스는 화이트로 했는데 화이트가 깔끔하니 좋더라구용,
286,디자인+색... 너무 구려요,
287,22222 애플이 아니라 통신사 때문입니다,
288,와 대박,
289,매년 나오죵 상반기에 S시리즈 하반기 노트시리즈가 나옵니다,
290,하 뒷면 갈수록...,
291,ㅋㅋㅋㅋㅋㅋ김밥천국 에디션ㅋㅋㅋㅋㅋㅋ,
292,웃겨야 드립인데 저게 웃긴가요? 웃음포인트가전혀 없는데 가사에 에어드롭이 들어갘ㅋㅋㅋㅋㅋㅋ 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 갤럭시ㅜ유저들 꽁기!!!ㅋㅋㅋㅋㅋㅋ,
293,링딩동,
294,오우... 근데 카드케이스 씌우면 잘 안보이긴하더라고요... 저는 카드폰케 필수라다행,
295,"저 님처럼 노트3부터 노트길만 걷고 지금 노트9인데 저는 아이폰프로12 기다려요.. 중간중간 아이폰을 써보고 싶기도 했는데, 갤럭시 세로로 넘 길어지고 카메라 많아질거면 차라리 아이폰 렌즈배치가 더 나은 것 같아서요",
296,유...선....쵝오...,
297,뭔가 귀욥....😯,
298,😮,
299,진심... ㅋ 당황스러울정도로 큽니다,
300,"제트플립사면서 받은 버즈+ 99000원쿠폰은 아깝고,, 블루는 제스타일 아니라서 어머니드렸는데 색 되게 마음에 들어하시더라구여 뿌듯",
301,하 ㅠㅠ 제발 저 디자인 재발매 했으면,
302,12랑 노트20중에 고민해봐야지....,
303,우리누나가 올리브영에서 이어팟 짝퉁을 샀는데... 저 상황이에요ㅠㅠ 웃픔,
304,두뇌풀가동 지려따링,
305,왜 굳이 12만 LGD로 한건가요? 따로 이유가 있나..,
306,..뭐래...ㅋㅋ,
307,11,
308,충전기는 ㄱㅊ은데 이어퐄 단자 다시 생겼나요???,
309,😂,
310,😥,
311,4s 사용했었는데 진짜 예뻐요ㅠㅠㅠㅠㅠ 아이폰 모든 시리즈 통틀어서 제일 예뻐요ㅠㅠㅠ,
312,22,
313,홈버튼 못 잃어.. 노치 시렁.. 8플로 버티는 중입니닷,
314,151515 저만 그런게 아니었군여 ㅋㅋㅋㅋ,
315,역시 장비가 아니라 손이 문제군용~,
316,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
317,저렇게해도 안되던데ㅠㅠㅠ,
318,아이폰 처음 사려고 하는데 다른거 너무 비싸서 고민이면 이거 사도 괜찮을까요?? 사실 기능 알못,
319,솔직히 가벼운 거 빼고 장점 모르겟어여ㅠㅠ 겉도 너무 플라스틱? 느낌나고ㅠㅠㅠ 맥이랑 그램 같이써서 더 그렇기 느낄 수도..ㅠㅠㅠ,
320,잘 깨질듯,
321,노치 있다던데용,
322,엥5우와6진짜7되네,
323,로고 위치 가운데로 내려간 거 빼고 8이랑 똑같은 거 같은데요...,
324,저런 거 애플 이어폰 짝퉁으로더 있어요 저희 매장에 팔아요,
325,레드!!!!!!,
326,제 발 엣지좀 빼ㅐㅏ애ㅐㅐㅐ!!!!!,
327,보라색 완전 예뻐요~!~!,
328,살 핸드폰이 없네여...,
329,그때는 다들 마스크 하는 분위기도 아니라 진짜 주위에 너도나도 다 걸렸었어요 ㅋㅋㅋ,
